"Control code","Control name","Control description","Control question","Control activities","Control owners","Control approvers","Required approvals stage","Is ready","Scope","NIST SP 800-53"
"DCF-626","Privacy Reporting","Montage Marketing Group has defined privacy reports, and maintains and appropriately disseminates those reports.","Does the organization maintain privacy reports?","1. Develop defined privacy reports. 
2. Identify relevant oversight bodies and disseminate the report to them.
3. Identify officials responsible for monitoring compliance with the privacy program.
4. Review and update reports at defined intervals.","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-27-00"
"DCF-59","Privileged Access Restricted","Administrative or privileged access to systems, resources, and data is restricted to authorized personnel.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-01-00, AC-03-00, AC-05-00, AC-06-00, AC-06-01, AC-06-02, AC-06-10, IA-07-00, PS-09-00"
"DCF-334","Privileged and General User ID Authorization","Montage Marketing Group controls addition, deletion, and modification of user IDs, credentials, and other identifier objects.","Are additions, deletions, and modifications of user IDs, credentials, and other identifier objects controlled such that user IDs are implemented only as authorized (including with specified privileges)?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-06-01, AC-06-02, AC-06-07, AC-06-10, RA-05-05"
"DCF-6","Production Changes Restricted","Access to deploy changes to production is restricted to authorized personnel in accordance with segregation of duties principles.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-05-00, SA-11-00"
"DCF-594","Protect Audit Information","Montage Marketing Group uses cryptographic mechanisms to protect audit information and audit tools.","Are cryptographic mechanisms used to protect the integrity of audit information and audit tools?","Implement cryptographic mechanisms to protect the integrity of audit information and audit tools.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-112","Provide Notice of Privacy Practices","Montage Marketing Group provides notice of its privacy practices to users prior to users entering information into its application.","Does the organization provide notice of its privacy practices to users prior to users entering information into its application?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-24, PT-02-00, PT-05-00"
"DCF-641","Proxy Server","Montage Marketing Group uses authenticated proxy servers at managed interfaces to route internal communication traffic to external networks.","Does the organization route internal communication to external networks via proxy servers?","1. Define internal communications traffic to be routed to external networks.
2. Identify external networks to which internal communications traffic is to be routed.
3. Ensure authenticated proxy servers at managed interfaces are used to route internal communications traffic to external networks.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-08"
"DCF-609","Public Key Authentication","Montage Marketing Group has an established process for public key authentication for individuals, machines, and devices.","Does the organization have a process for public key authentication?","1. Enforce authorized access to corresponding private keys.
2. For PKI, validate certificates by constructing and verifying a certification path to an accepted trust anchor; and, implement a local cache of revocation data to support path discovery and validation.","Jon Brown",,"No approvals assigned","Ready","In scope","IA-05-02"
"DCF-324","Public-Facing Web Application Vulnerability Assessment","Montage Marketing Group evaluates public-facing web applications via manual or automated application vulnerability security assessment tools at least once every 12 months and after significant changes. Vulnerabilities identified, if any, are risk-ranked and corrected, and the application is re-evaluated after the corrections.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SI-02-02, RA-05-02"
"DCF-121","Purposeful Use Only","Montage Marketing Group only uses personal information for the purposes identified in the entity's privacy policy.","Does the organization use personal information for only the purposes identified in the privacy policy?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-07-24, SI-12-01"
"DCF-18","Quarterly Vulnerability Scan","Montage Marketing Group engages with third-party to conduct vulnerability scans of the production environment at least quarterly. Results are reviewed by management and high priority findings are tracked to resolution.","Does the organization detect vulnerabilities and configuration errors by recurring vulnerability scanning of systems and web applications?","1. Enable 3rd party web application scanning solution and/or AWS Inspector / Azure Security Center - Vulnerability Assessment / Google Cloud Security Scanner
2. Review findings and results of scans
3. Create remediation plan(s) based on results of scans
4. Implement the remediation plan(s)","Jon Brown",,"No approvals assigned","Not ready","In scope","IR-07-00, CA-01-00, CA-02-00, RA-05-00"
"DCF-341","Reauthentication of Idle Sessions","Montage Marketing Group ensures that if a session has been idle for more than 15 minutes, require the user to re-authenticate to re-activate the terminal or session.","If a session has been idle for more than 15 minutes, are users required to re-authenticate (for example, re-enter the password) to re-activate the terminal or session?",,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-11-00, IA-11-00"
"DCF-536","Record of Processing Activity (ROPA)","Montage Marketing Group has an established and documented record of processing activity (ROPA), which includes evidence of lawful collection and use, including defined purpose of processing.","Does the organization have policies and procedures for the relevant lawful basis to process personal data?","The ROPA must be documented in writing or electronic form, and must contain ALL of the following:
(a) Name and contact details of the controller/processor and, where applicable, the joint controller, the controller's representative and the data protection officer
(b) Purposes of the processing
(c) Description of the categories of data subjects and of the categories of personal data
(d) Categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organizations
(e) If applicable, transfers of personal data to a third country or an international organization, including the identification of that third country or international organization and the documentation of suitable safeguards
(f) If possible, the time limits for erasure of the different categories of data
(g) If possible, a general description of the technical and organizational security measures
NOTE: This requirement does not apply to organizations that have less than 250 members, unless their processing activities: (a) will result in a risk to the rights and freedoms of data subjects; (b) is not occasional; (c) includes special categories or data relating to criminal convictions and offences","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-21-00, PM-22-00"
"DCF-568","Records of Competence","Montage Marketing Group maintains documentation of the necessary competence of personnel affecting its information security program.","Does the organization maintain records of personnel competence?","1. Determine what competencies are necessary for personnel affecting the information security program.
2. Retain documentation/records as evidence of competence, including education, training, experience, etc.","Jon Brown",,"No approvals assigned","Not ready","In scope","AT-04-00"
"DCF-148","Regression Testing in Place","Montage Marketing Group does application regression testing to validate key processing for the application during the change management process.","Does the organization perform regression testing to validate key processing during the change management process?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-04-02"
"DCF-17","Remediation Plan","Montage Marketing Group's Management prepares a remediation plan to formally manage the resolution of findings identified in risk assessment activities.","Does the organization respond to findings from security and privacy assessments, incidents and audits to ensure proper remediation has been performed?","Respond to findings from security and privacy assessments, incidents and audits to ensure proper remediation is being performed.
1. Review and implement risk remediation plan
2. Upload you risk remediation plan to ""Reports & Docs"" in Drata","Jon Brown",,"No approvals assigned","Not ready","In scope","IR-08-00, CP-02-01, CP-04-01, CP-06-00, CP-06-01, CP-06-03, CP-07-00, CP-07-01, CP-07-02, CP-07-03, CP-08-00, CP-08-01, CP-08-02, IR-04-01, CA-02-00, CA-05-00, RA-03-00"
"DCF-586","Remote Access to Security Information and Privileged Commands","Montage Marketing Group defines conditions for allowing remote access to security/privacy information and executing privileged commands.","Have the conditions been defined for remote access to security/privacy information and executing privilege commands?","Define the specific criteria that would justify execution of privileged commands and access to security-relevant information via remote access in the System Security Plan, along with the rationale for such needs.","Jon Brown",,"No approvals assigned","Ready","In scope","AC-17-04"
"DCF-643","Remote Activation of Collaborative Devices Prohibited","Montage Marketing Group prohibits the remote activation of collaborative computing devices and applications, unless explicitly defined otherwise.","Does the organization prohibit remote activation of collaborative computing devices and applications?","1. Prohibit remote activation of collaborative computing devices.
2. Define exceptions where remote activation may be allowed.
3. Each device should have an explicit indication of use for physically-present users.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-15-00"
"DCF-616","Remote Maintenance","Montage Marketing Group has an approval process for non local maintenance activities.","Does the organization approve and monitor remote maintenance and diagnostic activities?","1. Approve nonlocal maintenance and diagnostic activities.
2. Monitor nonlocal maintenance and diagnostic activities.
3. Require  the use of nonlocal maintenance and diagnostic tools as consistent with organizational policy.  
4. Document the use of nonlocal maintenance and diagnostic tools in the security plan for the system.
5. Implement strong authentication in the establishment of nonlocal maintenance and diagnostic sessions.
6. Maintain records for nonlocal maintenance and diagnostic activities.
7. Terminate session connections when remote maintenance is completed.","Jon Brown",,"No approvals assigned","Not ready","In scope","MA-04-00"
"DCF-149","Removable Media Device Encryption","Montage Marketing Group ensures that company-issued removable media devices (USB drives) are encrypted.","Does the organization restrict removable media in accordance with data handling and acceptable usage parameters?","1. Ensure all company-issued USB drives are encrypted","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-20-02, IR-08-01"
"DCF-300","Removal of Account Information before Application Release","Montage Marketing Group removes development, test and/or custom application accounts, user IDs, and passwords before applications become active or are released to customers.","Are development, test, and/or custom application accounts, user IDs, and passwords removed before applications become active or are released to customers?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-02-02, AC-02-03"
"DCF-122","Requests for Deletion","Montage Marketing Group captures requests for deletion of personal information and information related to the requests is appropriately deleted.","Does the organization capture requests for deletion of personal information?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AC-03-14"
"DCF-124","Require Authentication for Access","Users accessing their personal information through Montage Marketing Group's application must be authenticated with a username and password.","Does the organization require that users accessing personal information through the application must be authenticated with a username and password?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IA-02-01, IA-02-02, IA-02-08, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02"
"DCF-3","Require Encryption of Web-Based Admin Access","Montage Marketing Group uses encryption to protect user authentication and admin sessions of the internal admin tool transmitted over the Internet.","Does the organization use encryption to protect user authentication on any internal administrator tools?","Use encryption to protect user authentication and web-based admin sessions.","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-17-02"
"DCF-368","Restricted Physical Access to Publicly Accessible Network Jacks","Montage Marketing Group has implemented physical and/or logical controls to restrict access to publicly accessible network jacks.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-04-00, PE-05-00"
"DCF-630","Restricted Use of Social Security Number","Montage Marketing Group eliminates unnecessary uses of Social Security numbers.","Does the organization take steps to eliminate the unnecessary use of Social Security numbers?","1. Eliminate the use, collection, and maintenance of social security numbers.
2. Use alternatives to the use of Social Security numbers.
3. Inform individuals if Social Security number disclosure is voluntary or mandatory.
4. Inform individuals of intended use of Social Security number if disclosure is required.","Jon Brown",,"No approvals assigned","Not ready","In scope","PT-07-01"
"DCF-15","Risk Assessment Policy","Montage Marketing Group has defined a formal risk management process that specifies risk tolerances and the process for evaluating risks based on identified threats and the specified tolerances.","Does the organization conduct an annual assessment of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's systems and data?","Establish a formal risk assessment policy with:
1. Outlined risk tolerances
2. Evaluation process based on identified threats and specified tolerances","Jon Brown",,"No approvals assigned","Not ready","In scope","CA-01-00, CA-02-00, PM-09-00, PM-14-00, PM-28-00, RA-01-00, RA-03-00, RA-07-00, CA-02-01, RA-03-01, SR-02-00, SR-03-00"
"DCF-628","Risk Designation for Roles","Montage Marketing Group assigns risk designations to all company roles/positions.","Does the organization have risk designations for its organizational roles and positions?","1. Assign a risk designation to all organizational roles. 
2. Establish screening criteria for personnel in those roles.
3. Review and update the risk designations at defined intervals.","Jon Brown",,"No approvals assigned","Not ready","In scope","PS-02-00"
"DCF-330","Role-Based Access Control System","Montage Marketing Group's access control system(s) is configured to enforce assignment of privileges to individuals based on job classification and function.","Is the access control system(s) configured to enforce privileges assigned to individuals based on job classification and function?",,"Jon Brown","Jon Brown","Needs approval","Not ready","In scope","AC-05-00, AC-06-01, AC-06-02, AC-06-07, AC-06-10"
"DCF-602","Role-Based Contingency Training","Montage Marketing Group provides up-to-date contingency training on specified intervals to users based on the users' roles and responsibilities.","Is contingency training provided to system users consistent with assigned roles and responsibilities?","1. Provide contingency training to system users based on their roles and responsibilities at defined intervals and when required by system changes.
2. Define the time period to complete training from the time the role is assumed, and the frequency in which the training should be completed.
3. Review and update contingency training content at a defined frequency.","Jon Brown",,"No approvals assigned","Ready","In scope","CP-03-00, PM-13-00, PM-14-00"
"DCF-373","Role-Based Physical Access","Montage Marketing Group controls physical access for onsite personnel to sensitive areas as follows: Access must be authorized and based on individual job function; access is revoked immediately upon termination, and all physical access mechanisms are returned or disabled.","Is physical access to sensitive areas controlled for onsite personnel, as follows:
Is access authorized and based on individual job function?
Is access revoked immediately upon termination
Upon termination, are all physical access mechanisms, such as keys, access cards, etc., returned or disabled?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","MP-02-00, PE-03-00"
"DCF-90","Root Infrastructure Account Unused","Montage Marketing Group does not use Root Account on Infrastructure provider","Does the organization leave the Root Account on its infrastructure provider unused?",,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-06-05"
"DCF-526","Scope of Privacy Program","Montage Marketing Group has a well-defined documented scope that reflects the boundaries and applicability of its Privacy Program","Has the organization established a scope that reflects the boundaries and applicability of its privacy program and management of personal data?","1. Establish and Document the scope of the privacy program
2. Include purposes for processing personal data, and boundaries for the data necessary
3. Identify the data processing environment (e.g., geographic location, internal, cloud, third parties)","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-18-00, PM-22-00, SA-08-33"
"DCF-48","Screen Lockout","Company-issued devices, and bring-your-own or third party devices that may connect to company systems, as applicable, are configured to enforce a screensaver lock with a timeout of 15 minutes or less.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-05, AC-11-00, AC-11-01, AC-12-00"
"DCF-283","Secure and Encrypted Data Transmission","Montage Marketing Group uses strong cryptography and security protocols to safeguard sensitive data during transmission over open, public networks.","Are strong cryptography and security protocols used to safeguard sensitive data during transmission over open, public networks? 
Note: Examples of open, public networks include but are not limited to the Internet; wireless technologies, including 802.11 and Bluetooth; cellular technologies, for example, Global System for Mobile communications (GSM), Code division multiple access (CDMA); and General Packet Radio Service (GPRS).","Ensure strong encryption during data transmission over public networks.","Jon Brown",,"No approvals assigned","Not ready","In scope","CP-09-08"
"DCF-637","Secure Development Process","Montage Marketing Group has documented software development procedures that outline the company's processes for secure development. The documented processes include references to industry standards and/or best practices for secure development, security requirement considerations (for example, secure authentication and logging, etc.), and consideration information security issues during each stage of the software development life cycle.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SA-15-00"
"DCF-180","Secure Information Transfer","Montage Marketing Group has a defined process to ensure the secure transfer of information internally and externally.","Does the organization have policies and procedures to maintain the security of information transferred internally and with external entities?","1. Plan and document procedures for protecting information during transfer between any medium or communication facility
2. Ensure agreements with external entities for secure information transfer are documented and properly communicated","Jon Brown",,"No approvals assigned","Not ready","In scope","AC-04-00, AC-20-01, SC-08-00, MP-05-00, CA-09-00"
"DCF-274","Secure Key Generation Procedure","Montage Marketing Group's cryptographic key procedures include secure cryptographic key distribution","Do cryptographic key procedures include secure cryptographic key distribution?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-17-00"
"DCF-365","Secure Physical Access Control Mechanisms","Montage Marketing Group physical surveillance mechanisms (e.g., video monitoring systems, sensors and detectors) are in place to deter and detect unauthorized physical access and are protected from tampering or disabling.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PE-06-00"
"DCF-428","Secured Audit Trails","Montage Marketing Group secures audit trails so they cannot be altered.","Are audit trails secured so they cannot be altered?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","AU-09-00"
"DCF-649","Security and Privacy Function Verification","Correct operation of security and privacy functions will be verified and designated personnel will be alerted of the failed security and privacy verification resulting in system restart or shutdown.","Are security and privacy functions verified?","1. Define privacy and security functions to be verified for correct operation.
2. Establish system transitional states requiring the verification of security and privacy functions.
3. Generate alerts when anomalies are discovered or when a verification test fails.
4. Define the roles or personnel to be alerted.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-634","Security and Privacy Resource Planning and Allocation","Montage Marketing Group has explicit budgeting and organizational programming line items for information security and privacy programs and the resources needed for them throughout the system development life cycle.","Does the organization plan and allocate resources for its security and privacy programs?","1. Identify the high-level information security and privacy program requirements in mission and business process planning, including funding for system and services acquisition, sustainment, and supply-chain-related risks throughout the system development cycle.
2. Identify and document the required resources to protect the system in capital planning and the investment control process, and allocate them accordingly.
3. Explicitly establish line items for information security and privacy in organizational programming and budgeting documentation.","Jon Brown",,"No approvals assigned","Not ready","In scope","SA-02-00"
"DCF-28","Security Events Tracked and Evaluated","Montage Marketing Group evaluates security events to determine if they constitute an incident. Incidents are assigned a priority, documented, tracked, and resolved in accordance with company policies and procedures.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-05-00, IR-06-00, IR-07-00, IR-08-00, IR-04-01, IR-06-01, IR-06-03, IR-07-01"
"DCF-516","Security Incident Response Training","Montage Marketing Group provides periodic training to personnel responsible for responding to suspected and confirmed security incidents.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AT-02-02"
"DCF-23","Security Issues are Prioritized","Montage Marketing Group tracks and prioritizes security deficiencies through internal tools according to their severity by an independent technical resource.","Does the organization ensure that vulnerabilities are properly identified, tracked and remediated?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IR-08-00"
"DCF-382","Security of Offline Media Backup Storage","Montage Marketing Group stores offline media backups in a secure location (e.g., off-site facility, commercial storage facility, etc.). The security of the location is reviewed at least once every 12 month through inspection of the facilities. Results of the review are documented.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CP-04-01, CP-06-00, CP-06-01, CP-06-03, CP-07-00, CP-07-01, CP-07-02, CP-07-03, CP-09-08, CP-10-00, CP-10-02"
"DCF-51","Security Patches Automatically Applied","Montage Marketing Group's workstations operating system (OS) security patches are applied automatically.","Does the organization validate software versions/patch levels and control devices connecting to corporate networks or storing and accessing organization information?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","IR-03-00, IR-03-02, SI-02-00, SI-02-02, SI-08-00, SI-08-02"
"DCF-32","Security Policies","Company policies are accessible to all employees and, as appropriate, third parties. Personnel are required to acknowledge the information security policy and other topic-specific policies based on their job duties during onboarding and annually thereafter.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","PS-01-00"
"DCF-35","Security Team Communicates in a Timely Manner","The security team communicates important information security events to company management in a timely manner.","Does the organization ensure effective communication of security events to management in an efficient manner?","Tools such as Slack, PagerDuty, Drata to streamline and in many cases automate communication of security events","Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, IR-08-00, CP-04-00, CP-04-01, IR-07-01"
"DCF-34","Security Team/Steering Committee","Montage Marketing Group has an assigned security team that is responsible for the design, implementation, management, and review of the organization's security policies, standards, baselines, procedures, and guidelines.","Does the organization provide a security controls oversight function?","1. Monthly meeting minutes of steering committee where they discuss security goals, initiatives and projects, including remediation of vulnerabilities","Jon Brown",,"No approvals assigned","Ready","In scope","AC-03-00, AC-06-01, IR-01-00, IR-02-00, IR-02-03, IR-03-00, IR-05-00, IR-06-00, IR-07-00, IR-08-00, CM-02-00, CM-03-00, CM-03-04, CM-07-01, CP-03-00, IR-03-02, IR-04-01, IR-06-01, IR-07-01, CA-06-00, PL-09-00, PM-03-00"
"DCF-620","Security/Privacy Resource Planning","Montage Marketing Group includes the needed resources for the implementation of information security and privacy programs in its capital planning.","Does the organization include information security and privacy program resources in its capital planning?","1. Document the resources needed to implement the information security and privacy programs for capital planning and investment requests.
2. Document the resources that were excluded from consideration.
3. Align the documentation required to address the privacy and information security program in capital planning with applicable laws, regulations, standards, policies, and other obligations.","Jon Brown",,"No approvals assigned","Not ready","In scope","PM-03-00"
"DCF-646","Separate Execution Domain","Montage Marketing Group maintains a separate execution domain for each executing system process.","Does the organization maintain a separate execution domain for each executing system?","Implement process isolation mechanisms.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-39-00"
"DCF-7","Separate Testing and Production Environments","Pre-production environments (e.g., development, testing, etc.) are separated from production environments and the separation is enforced with access controls.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","SA-11-00"
"DCF-303","Separation of Duties in Test and Production Environments","Montage Marketing Group has separation of duties between development/test and production environments.","Is there separation of duties between personnel assigned to the development/test environments and those assigned to the production environment?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","SC-02-00"
"DCF-638","Separation of User and System Management Functions","Montage Marketing Group ensures that user functions are separated from system management functions.","Does the organization separate user functionality, including user interface services, from system management functionality?","Separate system management functions from user function, including user interface services,","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-02-00"
"DCF-84","Servers Monitored and Alarmed","Montage Marketing Group has implemented tools to monitor Montage Marketing Group's servers and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.","Does the organization implement tools to monitor its servers and notify appropriate personnel of incidents based on predetermined criteria?",,"Jon Brown",,"No approvals assigned","Ready","In scope","IR-07-00, SI-04-04, SI-04-05"
"DCF-209","Services, Protocols, and Ports Approval List","Montage Marketing Group has a documentation of business justification and approval for use of all services, protocols, and ports allowed, including documentation of security features implemented for those protocols considered to be insecure.","Do firewall and router configuration standards include a documented list of services, protocols, and ports, including business justification and approval for each?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-07-00, CM-07-01, SA-04-09"
"DCF-645","Session Authentication Management","Montage Marketing Group ensures that communication at the session level is protected.","Does the organization protect communications at the session level?","Implement mechanisms to protect authenticity of communication sessions.","Jon Brown",,"No approvals assigned","Ready","In scope","SC-23-00"
"DCF-557","Shared Account Management","Group, shared, or generic account usage is prevented unless strictly necessary and supported by documented business justification and management approval. Mechanisms are in place to confirm individual user identity before access to the account is granted and to trace every action to an individual user.",,,,,"No approvals assigned","Ready","Out of scope",
"DCF-639","Shared System Information Security","Montage Marketing Group ensures that any unauthorized or unintended information transfers via shared system resources are prevented.","Does the organization prevent unauthorized and unintended information transfer via shared system resources?","Ensure unauthorized or unintended information cannot be transferred via shared system resources.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-04-00"
"DCF-627","Social Media Rules","Montage Marketing Group has defined rules of behavior for restricting social media, social networking sites, and external sites/application use.","Does the organization have rules for behavior restrictions on social media, social networking sites, and external sites/applications?","Define rules of behavior for restricting the use of social media and networking sites, and external sites/applications.","Jon Brown",,"No approvals assigned","Not ready","In scope","PL-04-01"
"DCF-31","Software Development Life Cycle Policy","Montage Marketing Group has developed policies and procedures governing the system development life cycle, including documented policies for tracking, testing, approving, and validating changes.","Does the organization have a process for tracking, testing, approving, and validating changes?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-01-00, CM-03-00, CM-04-02, CM-09-00, SA-03-00, SA-11-00, SA-04-01, SA-04-02, SA-10-00, SA-15-00, SA-15-03"
"DCF-653","Spam Protection","Montage Marketing Group has spam protection at system entry and exit points to detect unsolicited messages.","Does the organization employ spam protection at system entry and exit points ?","1. Employ spam protection mechanisms at system entry and exit points.
3. Detect and act on unsolicited messages.
4. Update spam protection with new releases and in accordance with the company configuration management plan.","Jon Brown",,"No approvals assigned","Not ready","In scope","SI-08-00"
"DCF-78","Storage Buckets are Versioned","Storage buckets that contain customer data are versioned.","Does the organization retain previous versions of baseline configuration to support roll back?",,"Jon Brown",,"No approvals assigned","Ready","In scope","CM-02-03"
"DCF-632","Supply Chain Risk Assessment","Montage Marketing Group assesses and updates supply chain risks associated with system components and system services.","Are supply chain risks assessed?","1. Define systems, system components, and system services to assess supply chain risks.
2. Establish the frequency for updating the supply chain risk assessment.","Jon Brown",,"No approvals assigned","Not ready","In scope","RA-03-01"
"DCF-10","System Access Control Policy","Montage Marketing Group has developed and documented a policy that outlines requirements for access control.",,,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-01-00, AC-02-00, AC-02-01, AC-02-02, AC-02-03, AC-03-00, AC-04-00, AC-05-00, AC-06-00, AC-06-01, AC-06-02, AC-06-07, AC-06-10, AC-17-00, AC-18-00, AC-20-00, IA-01-00, IA-02-01, IA-02-02, IA-02-08, IA-03-00, IA-04-00, IA-04-04, IA-05-00, IA-05-01, IA-05-02, PS-02-00, PS-04-00, PS-05-00, PS-08-00, PM-10-00"
"DCF-327","System Access Roles Defined","Montage Marketing Group defines access needs for each role, including: System components and data resources that each role needs to access for their job function; Level of privilege required for accessing resources.","Are access needs for each role defined, including:
System components and data resources that each role needs to access for their job function?
Level of privilege required (for example, user, administrator, etc.) for accessing resources?",,"Jon Brown",,"No approvals assigned","Ready","In scope","AC-02-00, AC-06-01, AC-06-02, AC-06-05, AC-06-07, AC-06-10, SC-02-00"
"DCF-578","System and Services Acquisition Policy","Montage Marketing Group has a defined policy for system and services acquisition that establishes the procedures for systems and services to be acquired with security requirements that align with business objectives.","Does the organization have a System Services and Acquisition Policy?","1. Document and maintain a System and Services Acquisition Policy.
2. Implement each section of the System and Services Acquisition Policy.","Jon Brown",,"No approvals assigned","Not ready","In scope","SA-01-00, SR-05-00, SR-10-00, SR-11-00"
"DCF-237","System Configuration Standards","Montage Marketing Group's system configuration standards include all of the following: 
Changing of all vendor-supplied defaults and elimination of unnecessary default accounts; implementing only one primary function per server to prevent functions that require different security levels from coexisting on the same server; enabling only necessary services, protocols, daemons, etc., as required for the function of the system; implementing additional security features for any required services, protocols or daemons that are considered to be insecure; configuring system security parameters to prevent misuse; removing all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers.","Do system configuration standards include all of the following: 
Changing of all vendor-supplied defaults and elimination of unnecessary default accounts?
Implementing only one primary function per server to prevent functions that require different security levels from co-existing on the same server?
Enabling only necessary services, protocols, daemons, etc., as required for the function of the system?
Implementing additional security features for any required services, protocols or daemons that are considered to be insecure?
Configuring system security parameters to prevent misuse?
Removing all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers?",,"Jon Brown",,"No approvals assigned","Not ready","In scope","RA-05-05"
"DCF-636","System Documentation Maintained","Montage Marketing Group maintains system documentation for the system, system component, and system services, and has procedures for responding to attempts to obtain documents when the documentation is unavailable or nonexistent.","Does the organization maintain documentation for the system, system component, or service for administrators and users?","1. Develop and maintain system administrator documentation that describes: (a) system configuration, installation, and operation of the system, component, or service; (b) effective use and maintenance of security and privacy functions and mechanisms; and (c) known system vulnerabilities in configuration and use of administrative/privileged functions.
2. Develop and maintain system user documentation that describes: (a) user-accessible security and privacy functions and mechanisms, and their effective use; (b) user interaction methods for the secure use of the system, component, or service, and protection of individual privacy; (c) responsibilities of users in maintaining security.
3. Identify personnel or roles to whom the documentation will be distributed.
4. Define actions to take when there is an attempt to obtain system, system component, or system service documentation when the documentation is either unavailable or nonexistent.","Jon Brown",,"No approvals assigned","Not ready","In scope","SA-05-00"
"DCF-607","System Identifier Management","Montage Marketing Group has a process in place to manage system identifiers and prevent their reuse.","Does the organization manage system identifiers to prevent reuse of identifiers?","1. Identify personnel or define roles that are responsible for authorizing the assignment of identifiers.
2. Determine the time period for preventing reuse of identifiers.
3. Avoid the assignment of previously used identifiers from one individual, group, role, service, or device to another.","Jon Brown",,"No approvals assigned","Not ready","In scope","IA-04-00"
"DCF-576","System Information and Integrity Policy","Montage Marketing Group has a defined policy for system information and integrity that establishes procedures to ensure systems are established with system integrity monitoring.","Does the organization have a System and Integrity Policy?","1. Develop and maintain System Information and Integrity Policy.
2. Implement each section of the System Information and Integrity Policy.","Jon Brown",,"No approvals assigned","Not ready","In scope","SC-20-00, SC-21-00, SC-22-00, SI-01-00"
"DCF-654","System Memory Protection","Montage Marketing Group has controls in place to protect the system memory from unauthorized code execution.","Has the organization implemented controls to protect the system memory from unauthorized code execution?","Define and implement controls to be implemented to protect the system memory from unauthorized code execution.","Jon Brown",,"No approvals assigned","Not ready","In scope","SI-16-00"
"DCF-647","System Monitoring Tools","Montage Marketing Group allows system monitoring tools and mechanisms to see encrypted communications traffic.","Does the organization make provision for encrypted communication traffic to be visible to system monitoring tools and mechanisms?","1. Define encrypted communications traffic to be made visible to system monitoring tools and mechanisms.
2. Implement system monitoring tools and mechanisms to be provided access to encrypted communications traffic.",,,"No approvals assigned","Not ready","Out of scope",
"DCF-12","System Security Configuration and Hardening Standards","Montage Marketing Group has documented baseline security configuration standards for all system components in accordance with industry-accepted system hardening standards or vendor hardening recommendations. These standards are updated as needed when vulnerabilities are identified and verified to be in place before or immediately after a system component is connected to a production environment.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-02-00, CM-06-00, PL-10-00, PL-11-00, SA-08-00"
"DCF-244","System Security Parameters in Configuration Standards","Security parameters in system components are configured to prevent misuse in accordance with documented configuration standards.",,,"Jon Brown",,"No approvals assigned","Not ready","In scope","CM-06-00"
